Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Sound Mix,Aspect Ratio,Movie Name,Critics Score,Audience Score,Rerelease Date (Theaters),Release Date (DVD)
Gillo Pontecorvo,"Antonio Musu, 
Yacef Saadi",,"Rialto Pictures, 
Image Entertainment Inc., 
Criterion Collection, 
Rizzoli","Cashbah, 
Igor Film",,"War, 
History, 
Drama",Arabic,"Sep 20, 1967, Wide","Jan 14, 2017",$55.9K,2h 5m,Mono,,The Battle of Algiers,99%,95%,"Oct 7, 2016",
John Lasseter,"Ralph Guggenheim, 
Bonnie Arnold","John Lasseter, 
Pete Docter, 
Joe Ranft, 
Joss Whedon, 
Andrew Stanton, 
Joel Cohen, 
Alec Sokolow","Buena Vista Pictures, 
Warner Home Vídeo","Walt Disney Pictures, 
Pixar Animation Studios",G,"Kids & Family, 
Comedy, 
Adventure, 
Fantasy, 
Animation",English,"Nov 22, 1995, Original","Jan 1, 2014",$31.3M,1h 20m,,,Toy Story,100%,92%,"Nov 6, 2020",
Alfred Hitchcock,Alfred Hitchcock,"John Michael Hayes, 
Cornell Woolrich",Paramount Pictures,"Paramount Pictures, 
Alfred J. Hitchcock Productions, 
Patron Inc.",PG,Mystery & Thriller,English,"Sep 1, 1954, Wide","Aug 18, 2015",$1.6M,1h 52m,,Flat (1.37:1),Rear Window,98%,95%,"Aug 25, 2024",
Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,United Artists,Charles Chaplin Productions,G,Comedy,English,"Feb 5, 1936, Wide","May 22, 2017",$163.2K,1h 29m,Mono,Flat (1.37:1),Modern Times,98%,95%,,
"Christopher Sanders, 
Dean DeBlois",Bonnie Arnold,"Christopher Sanders, 
Dean DeBlois","DreamWorks SKG, 
Paramount Pictures","DreamWorks Animation, 
Vertigo Entertainment",PG (Sequences of Intense Action|Brief Mild Language|Some Scary Images),"Kids & Family, 
Fantasy, 
Adventure, 
Comedy, 
Animation",English,"Mar 26, 2010, Wide","Nov 25, 2015",$217.4M,1h 38m,,,How to Train Your Dragon,99%,91%,,
Joseph L. Mankiewicz,Darryl F Zanuck,Joseph L. Mankiewicz,"20th Century Fox, 
Fox",Twentieth Century Fox,,Drama,English,"Oct 13, 1950, Original","Mar 1, 2013",$10.2K,2h 18m,Mono,Flat (1.37:1),All About Eve,99%,94%,,
Hayao Miyazaki,"Donald W. Ernst, 
Toshio Suzuki",Hayao Miyazaki,Walt Disney Pictures,"Walt Disney Pictures, 
Tokuma Shoten, 
Studio Ghibli",PG (Some Scary Moments),"Fantasy, 
Adventure, 
Animation",Japanese,"Sep 20, 2002, Wide","Dec 19, 2019",$10.0M,2h 5m,"Dolby SR, 
DTS, 
Dolby Stereo, 
Surround, 
Dolby A, 
Dolby Digital",Flat (1.85:1),Spirited Away,96%,96%,,
"Pete Docter, 
Bob Peterson",Jonas Rivera,"Bob Peterson, 
Pete Docter","Walt Disney, 
Pixar Animation Studios","Pixar Animation Studios, 
Walt Disney Pictures",PG (Some Peril and Action),"Kids & Family, 
Comedy, 
Adventure, 
Animation",English,"May 29, 2009, Wide","Jan 1, 2014",,1h 36m,"Dolby Digital, 
SDDS, 
Dolby Atmos",Flat (1.85:1),Up,98%,90%,,
Carol Reed,"Alexander Korda, 
Carol Reed, 
David O. Selznick","Graham Greene, 
Alexander Korda, 
Graham Greene","Spiegel Media GmbH, 
Continental Home Vídeo [br], 
Warner Home Vídeo, 
Selznick International Pictures, 
British Lion Films Ltd., 
Vintage Video","British Lion Film Corporation, 
London Film Production",,Mystery & Thriller,English,"Feb 1, 1949, Wide","Sep 1, 2009",$447.0K,1h 44m,Mono,Flat (1.37:1),The Third Man,99%,93%,,
Tom McCarthy,"Michael Sugar, 
Steve Golin, 
Nicole Rocklin, 
Blye Pagon Faust","Josh Singer, 
Tom McCarthy",Open Road,"Anonymous Content, 
Rocklin/Faust",R (Some Language|Sexual References),Drama,English,"Nov 20, 2015, Wide","Feb 2, 2016",$45.0M,2h 8m,,,Spotlight,97%,93%,,
"Bob Persichetti, 
Peter Ramsey, 
Rodney Rothman","Avi Arad, 
Amy Pascal, 
Phil Lord, 
Christopher Miller, 
Christina Steinberg","Phil Lord, 
Rodney Rothman","Columbia Pictures, 
Sony Pictures Entertainment","Sony Pictures Animation, 
Avi Arad, 
Pascal Pictures, 
Lord Miller",PG (Mild Language|Frenetic Action Violence|Thematic Elements),"Kids & Family, 
Action, 
Adventure, 
Comedy, 
Fantasy, 
Animation",English,"Dec 14, 2018, Wide","Mar 7, 2019",$190.2M,1h 57m,"Dolby Atmos, 
DTS, 
Dolby Digital, 
SDDS",Digital 2.39:1,Spider-Man: Into the Spider-Verse,97%,94%,,
George Cukor,Joseph L. Mankiewicz,"Philip Barry, 
Donald Ogden Stewart, 
Waldo Salt",Metro-Goldwyn-Mayer,Metro Goldwyn Mayer,,"Romance, 
Comedy",English,"Dec 1, 1940, Original","Aug 15, 2008",,1h 52m,Mono,,The Philadelphia Story,100%,93%,,
Andrew Stanton,Graham Walters,"Andrew Stanton, 
Andrew Stanton, 
Bob Peterson, 
David Reynolds",Walt Disney Pictures,"Pixar Animation Studios, 
Walt Disney Pictures",G,"Kids & Family, 
Comedy, 
Adventure, 
Animation",English,"May 30, 2003, Wide","Jan 1, 2014",,1h 40m,"Dolby SR, 
DTS, 
Dolby Stereo, 
Surround, 
SDDS, 
Dolby A, 
Dolby Digital",Flat (1.85:1),Finding Nemo,99%,86%,,
"Stanley Donen, 
Gene Kelly",Arthur Freed,"Betty Comden, 
Adolph Green",Metro-Goldwyn-Mayer,Metro Goldwyn Mayer,G,"Musical, 
Comedy",English,"Apr 10, 1952, Wide","Mar 1, 2014",$23.9K,1h 42m,Mono,Flat (1.37:1),Singin' in the Rain,100%,95%,,
Sidney Lumet,"Henry Fonda, 
Reginald Rose",Reginald Rose,"Criterion Collection, 
United Artists, 
Metro-Goldwyn-Mayer, 
MGM/UA Home Entertainment Inc.",Orion-Nova Pictures,,Drama,English,"Apr 20, 1957, Original","Apr 4, 2012",,1h 35m,,,12 Angry Men,100%,97%,,
Lee Unkrich,Darla K. Anderson,Michael Arndt,Walt Disney,"Pixar Animation Studios, 
Walt Disney Animation",G,"Kids & Family, 
Comedy, 
Adventure, 
Fantasy, 
Animation",English,"Jun 18, 2010, Wide","Jan 1, 2014",$415.0M,1h 42m,"Dolby Digital, 
DTS, 
SDDS, 
Dolby Atmos",,Toy Story 3,98%,90%,,
Billy Wilder,Charles Brackett,"Charles Brackett, 
D.M. Marshman Jr., 
Billy Wilder",Paramount Pictures,Paramount Pictures,,Drama,English,"Aug 10, 1950, Wide","Jul 1, 2013",,1h 50m,,Flat (1.37:1),Sunset Boulevard,98%,94%,,
Lee Unkrich,Darla K. Anderson,"Adrian Molina, 
Matthew Aldrich",Walt Disney,Pixar Animation Studios,PG (Thematic Elements),"Kids & Family, 
Comedy, 
Adventure, 
Music, 
Animation",English,"Nov 22, 2017, Wide","Feb 13, 2018",$210.5M,1h 49m,Dolby Atmos,Scope (2.35:1),Coco,97%,94%,,
Francis Ford Coppola,Francis Ford Coppola,"Francis Ford Coppola, 
Mario Puzo",Paramount Pictures,"Paramount Pictures, 
Coppola Company",R,"Crime, 
Drama",English,"Dec 12, 1974, Wide","Sep 15, 2012",,3h 20m,Mono,Flat (1.85:1),"The Godfather, Part II",96%,97%,"Apr 19, 2012",
Krzysztof Kieslowski,Marin Karmitz,"Krzysztof Kieslowski, 
Krzysztof Piesiewicz",,"RTS - Radio Télévision Suisse, 
MK2 Films, 
Tor Film Production, 
France 3 Cinéma, 
CAB Productions",R (Brief Strong Sex Scene),Drama,French (France),,"Mar 11, 2017",$858.4K,1h 36m,Surround,Flat (1.85:1),Three Colors: Red,100%,94%,,
Ava DuVernay,"Christian Colson, 
Oprah Winfrey, 
Dede Gardner, 
Jeremy Kleiner",Paul Webb,Paramount Pictures,"Plan B Entertainment, 
Harpo Films, 
Cloud Eight",PG-13 (Brief Strong Language|A Suggestive Moment|Disturbing Thematic Material|Violence),"History, 
Drama",English,"Jan 9, 2015, Wide","May 24, 2016",$52.1M,2h 8m,,,Selma,99%,86%,"Mar 20, 2015",
"Byron Howard, 
Rich Moore",Clark Spencer,"Jared Bush, 
Phil Johnston",Walt Disney,Walt Disney Animation Studios,PG (Rude Humor|Action|Some Thematic Elements),"Kids & Family, 
Comedy, 
Adventure, 
Animation",English,"Mar 4, 2016, Wide","Jun 7, 2016",,1h 48m,Dolby Atmos,,Zootopia,98%,92%,,
Orson Welles,Orson Welles,"Herman J. Mankiewicz, 
Orson Welles, 
John Houseman",RKO Radio Pictures,"Mercury Productions, 
RKO Radio Pictures Inc.",PG,Drama,English,"May 1, 1941, Wide","Jun 28, 2016",$977.3K,1h 59m,Mono,Academy (1.33:1),Citizen Kane,99%,90%,,
Woody Allen,"Charles H. Joffe, 
Jack Rollins","Woody Allen, 
Marshall Brickman",United Artists,Rollins-Joffe Productions,PG,"Romance, 
Comedy",English,"Jan 1, 1977, Wide","Sep 3, 2015",,1h 33m,Mono,Flat (1.85:1),Annie Hall,97%,92%,,
Stuart Rosenberg,Gordon Carroll,"Frank Pierson, 
Donn Pearce, 
Donn Pearce","Warner Bros. Pictures, 
Warner Home Vídeo","Warner Brothers, 
Jalem Productions",PG,Drama,English,"Nov 1, 1967, Wide","May 19, 2016",,2h 9m,Mono,Scope (2.35:1),Cool Hand Luke,100%,95%,,
Alexander Payne,"Mark Johnson, 
Bill Block, 
David Hemingson",David Hemingson,Focus Features,"Miramax, 
Gran Via",R (Language|Brief Sexual Material|Some Drug Use),"Holiday, 
Comedy, 
Drama",English,"Nov 10, 2023, Wide","Nov 28, 2023",$20.3M,2h 13m,Dolby Digital,Flat (1.66:1),The Holdovers,97%,92%,,
Pete Docter,Jonas Rivera,"Pete Docter, 
Meg LeFauve, 
Josh Cooley",Walt Disney,"Pixar Animation Studios, 
Walt Disney Pictures",PG (Some Action|Mild Thematic Elements),"Kids & Family, 
Comedy, 
Fantasy, 
Animation",English,"Jun 19, 2015, Wide","Nov 3, 2015",$2.0M,1h 35m,"Dolby Atmos, 
Datasat",,Inside Out,98%,89%,,
Stanley Kubrick,Stanley Kubrick,"Stanley Kubrick, 
Terry Southern, 
Peter George",Columbia Pictures,Hawk Films,PG,Comedy,English,"Jan 29, 1964, Wide","Apr 16, 2012",,1h 33m,Mono,Flat (1.85:1),Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb,98%,94%,,
Tomas Alfredson,"Carl Molinder, 
John Nordling",John Ajvide Lindqvist,,"Canal+, 
Sandrew Metronome",R (Brief Nudity|Bloody Violence|Disturbing Images|Language),Horror,Swedish,"Oct 24, 2008, Limited","Jan 14, 2017",$2.1M,1h 54m,Dolby SRD,,Let the Right One In,98%,90%,,
Peter Jackson,"Peter Jackson, 
Barrie M. Osborne, 
Fran Walsh, 
Eric Monette","Peter Jackson, 
Philippa Boyens, 
Fran Walsh, 
Stephen Sinclair, 
J.R.R. Tolkien",New Line Cinema,"New Line Cinema, 
Saul Zaentz Company",PG-13 (Scary Images|Epic Battle Sequences),"Fantasy, 
Adventure",English,"Dec 5, 2002, Wide","Jun 28, 2011",$342.6M,2h 59m,"Dolby Stereo, 
Dolby SR, 
DTS, 
Surround, 
SDDS, 
Dolby A, 
Dolby EX, 
Dolby Digital",Scope (2.35:1),The Lord of the Rings: The Two Towers,95%,95%,"Jun 9, 2024",
Rian Johnson,"Rian Johnson, 
Ram Bergman, 
Jonathan Golfman, 
Brye Adler",Rian Johnson,Lionsgate Films,"FilmNation Entertainment, 
Media Rights Capital",PG-13 (Drug Material|Brief Violence|Sexual References|Some Strong Language|Thematic Elements),"Mystery & Thriller, 
Comedy, 
Drama",English,"Nov 27, 2019, Wide","Jun 12, 2020",$165.4M,2h 10m,"Dolby Atmos, 
Dolby Digital",Flat (1.85:1),Knives Out,97%,92%,,
Fritz Lang,Seymour Nebenzal,"Egon Jacobson, 
Fritz Lang",Paramount Pictures,Nero-Film AG,,"Mystery & Thriller, 
Crime, 
Drama",German,"Apr 2, 1933, Wide","Jul 21, 2009",$29.6K,1h 39m,Mono,,M,100%,95%,,
Josh Cooley,"Mark Nielsen, 
Jonas Rivera, 
Galyn Susman","Andrew Stanton, 
Stephany Folsom",Walt Disney,"Pixar Animation Studios, 
Walt Disney Pictures",G,"Kids & Family, 
Comedy, 
Adventure, 
Fantasy, 
Animation",English,"Jun 21, 2019, Wide","Oct 1, 2019",$434.0M,1h 40m,"DTS, 
Dolby Digital, 
Dolby Atmos",Scope (2.35:1),Toy Story 4,97%,94%,,
Darren Aronofsky,"Scott Franklin, 
Darren Aronofsky",Robert D. Siegel,Fox,"Protozoa Pictures, 
Wild Bunch",R (Nudity|Language|Sexuality|Some Drug Use|Violence),Drama,English,"Dec 17, 2008, Limited","Dec 12, 2015",$26.2M,1h 50m,,,The Wrestler,99%,88%,,
Martin Scorsese,Irwin Winkler,"Nicholas Pileggi, 
Martin Scorsese",Warner Bros. Pictures,Warner Brothers,R,"Crime, 
Drama",English,"Sep 19, 1990, Wide","Aug 15, 2008",$42.6M,2h 26m,"Surround, 
Dolby Digital, 
Dolby A, 
Dolby SR",Flat (1.85:1),Goodfellas,94%,97%,,
Victor Fleming,"Victor Fleming, 
Mervyn LeRoy","L. Frank Baum, 
Noel Langley, 
Florence Ryerson, 
Edgar Allan Woolf",Metro-Goldwyn-Mayer,Metro Goldwyn Mayer,G,"Kids & Family, 
Fantasy, 
Musical",English,"Aug 25, 1939, Wide","Sep 29, 2009",$5.5M,1h 41m,Mono,Flat (1.37:1),The Wizard of Oz,98%,89%,"Nov 6, 1998",
Billy Wilder,Joseph Sistrom,"James M. Cain, 
Billy Wilder, 
Raymond Chandler",Paramount Pictures,Paramount Pictures,,"Crime, 
Drama",English,"Sep 6, 1944, Wide","Oct 1, 2014",,1h 46m,Mono,,Double Indemnity,97%,95%,,
Alfred Hitchcock,Alfred Hitchcock,"Robert Bloch, 
Joseph Stefano",Paramount Pictures,"Paramount, 
Shamley Productions",R,"Horror, 
Mystery & Thriller",English,"Jun 16, 1960, Original","Feb 12, 2014",,1h 49m,Mono,,Psycho,97%,95%,,
Paul King,David Heyman,"Paul King, 
Simon Farnaby",Warner Bros. Pictures,"Heyday Films, 
Anton Capital Entertainment",PG (Some Action|Mild Rude Humor),"Kids & Family, 
Comedy, 
Adventure",British English,"Jan 12, 2018, Wide","Mar 6, 2018",$38.4M,1h 43m,Dolby Atmos,Scope (2.35:1),Paddington 2,99%,88%,,
Richard Linklater,Anne Walker-McBay,"Richard Linklater, 
Kim Krizan",,"Castle Rock Entertainment, 
Columbia Pictures Corporation, 
Detour Filmproduction",R,"Romance, 
Drama",English,"Jan 27, 1995, Original","Oct 3, 2008",$4.7M,1h 41m,Surround,,Before Sunrise,100%,93%,,
Christopher Nolan,"Emma Thomas, 
Charles Roven, 
Christopher Nolan","Jonathan Nolan, 
Christopher Nolan",Warner Bros. Pictures,"Syncopy, 
Legendary Entertainment, 
Warner Bros.",PG-13 (Some Menace|Intense Sequences of Violence),"Action, 
Adventure, 
Fantasy",English,"Jul 18, 2008, Wide","Jun 14, 2010",$2.0M,2h 32m,"DTS, 
Dolby Digital, 
SDDS",Scope (2.35:1),The Dark Knight,94%,94%,"Sep 15, 2023",
John Huston,,"Dashiell Hammett, 
John Huston",Warner Bros. Pictures,"Warner Brothers, 
First National Pictures",,"Crime, 
Drama",English,"Oct 18, 1941, Wide","May 19, 2016",,1h 40m,Mono,,The Maltese Falcon,99%,91%,,
Frank Capra,"Frank Capra, 
Harry Cohn","Samuel Hopkins Adams, 
Robert Riskin","RCA/Columbia, 
Columbia Pictures, 
Columbia TriStar Home Video",Columbia Pictures Corporation,,"Romance, 
Comedy",English,"Feb 22, 1934, Original","Apr 16, 2012",,1h 45m,Mono,"35mm, 
Flat (1.37:1)",It Happened One Night,98%,93%,,
Henri-Georges Clouzot,"Raymond Borderie, 
Henri-Georges Clouzot, 
Louis Wipf","Henri-Georges Clouzot, 
Georges Arnaud, 
Jérôme Géronimi",DCA Releasing,"Filmsonor, 
Vera Films",,Mystery & Thriller,Canadian French,"Feb 16, 1955, Original","Mar 23, 2017",,2h 36m,Mono,Academy (1.33:1),The Wages of Fear,100%,94%,"Nov 27, 2024",
Alfred Hitchcock,Alfred Hitchcock,Ernest Lehman,Metro-Goldwyn-Mayer,Metro Goldwyn Mayer,,Mystery & Thriller,English,"Jul 17, 1959, Wide","Nov 17, 2009",,2h 16m,Mono,Flat (1.66:1),North by Northwest,97%,94%,"May 19, 2024",
Vittorio De Sica,Vittorio De Sica,"Luigi Bartolini, 
Cesar Zavattini, 
Suso Cecchi d'Amico",,Produzioni De Sica,,Drama,Italian,"Oct 24, 1948, Original","Mar 29, 2016",$332.9K,1h 30m,Mono,Flat (1.37:1),Bicycle Thieves,99%,94%,,
Ridley Scott,"David Giler, 
Gordon Carroll, 
Walter Hill","Dan O'Bannon, 
Ronald Shusett",20th Century Fox,"Twentieth Century Fox, 
Brandywine Productions",R,"Sci-Fi, 
Horror",English,"May 25, 1979, Wide","Nov 2, 2014",$82.6M,1h 57m,"Surround, 
Magnetic Stereo 6 Track, 
Dolby Stereo","Scope (2.35:1), 
70mm",Alien,93%,94%,"Apr 26, 2024",
Ben Affleck,"Grant Heslov, 
Ben Affleck, 
George Clooney",Chris Terrio,Warner Bros. Pictures,"Smokehouse Pictures, 
Warner Bros., 
GK Films, 
Smoke House",R (Some Violent Images|Language),"History, 
Drama, 
Mystery & Thriller, 
Biography",English,"Oct 12, 2012, Wide","Dec 3, 2013",$136.0M,2h 0m,"SDDS, 
Dolby Digital, 
Datasat",,Argo,96%,90%,,
Jordan Peele,"Sean McKittrick, 
Jason Blum, 
Edward H. Hamm Jr., 
Jordan Peele",Jordan Peele,Universal Pictures,"Universal Pictures, 
QC Entertainment, 
Blumhouse Productions",R (Language|Bloody Images|Sexual References|Violence),"Horror, 
Mystery & Thriller, 
Comedy",English,"Feb 24, 2017, Wide","May 9, 2017",$176.0M,1h 44m,"Dolby Digital, 
DTS, 
SDDS",Scope (2.35:1),Get Out,98%,86%,"Sep 22, 2023",
Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,,Charles Chaplin Productions,,"Comedy, 
Drama",English,"Jan 21, 1921, Original","Sep 2, 2016",,1h 0m,,,The Kid,100%,95%,,
Christopher McQuarrie,"Tom Cruise, 
Christopher McQuarrie, 
Leifur B. Dagfinnsson","Christopher McQuarrie, 
Erik Jendresen",Paramount Pictures,"Paramount Pictures, 
Skydance Media, 
Tom Cruise",PG-13 (Intense Sequences of Violence|Action|Some Language|Suggestive Material),"Action, 
Adventure, 
Mystery & Thriller",English,"Jul 12, 2023, Wide","Oct 10, 2023",$172.0M,2h 43m,"Dolby Atmos, 
Dolby Digital",Digital 2.39:1,Mission: Impossible - Dead Reckoning Part One,96%,94%,,
Roman Polanski,"Robert Benmussa, 
Roman Polanski, 
Alain Sarde","Wladyslaw Szpilman, 
Ronald Harwood",Focus Features,Miramax,R (Violence|Brief Strong Language),"History, 
Drama, 
War",English,"Dec 27, 2002, Original","Apr 19, 2016",$17.8K,2h 28m,Surround,,The Pianist,95%,96%,,
Robert Hamer,John Dighton,"Roy Horniman, 
Robert Hamer, 
John Dighton","Anchor Bay Entertainment, 
General Film Distributors, 
Eagle-Lion Films Inc. [us]",Ealing Studios,,"Comedy, 
Crime, 
Drama",English,"Jun 14, 1950, Wide","Feb 14, 2016",$35.9K,1h 44m,,,Kind Hearts and Coronets,100%,93%,,
François Truffaut,François Truffaut,"François Truffaut, 
François Truffaut, 
Marcel Moussy",Criterion Collection,Les Films du Carrosse,,"Crime, 
Drama",French (France),"Nov 16, 1959, Wide","Nov 29, 2011",,1h 33m,Mono,,The 400 Blows,99%,94%,,
Isao Takahata,,Isao Takahata,,,,"Drama, 
War, 
Anime",Japanese,,"Mar 11, 2017",,1h 28m,,,Grave of the Fireflies,100%,95%,,
Michael Showalter,"Judd Apatow, 
Barry Mendel","Emily V. Gordon, 
Kumail Nanjiani","Amazon Studios, 
Lionsgate Films","Apatow Films, 
FilmNation",R (Some Sexual References|Language),"Romance, 
Comedy",English,"Jul 14, 2017, Wide","Jul 10, 2017",$42.9M,2h 0m,Dolby Digital,Flat (1.85:1),The Big Sick,98%,88%,,
Lee Isaac Chung,"Dede Gardner, 
Jeremy Kleiner, 
Christina Oh",Lee Isaac Chung,A24,Plan B Entertainment,PG-13 (Some Thematic Elements|A Rude Gesture),Drama,English,"Feb 12, 2021, Limited","Feb 26, 2021",$700.0K,1h 55m,,,Minari,98%,87%,,
Céline Sciamma,"Bénédicte Couvreur, 
Véronique Cayla",Céline Sciamma,Neon,"Lilies Films, 
Hold Up Films, 
arte France Cinéma",R (Some Nudity and Sexuality),"History, 
Drama, 
LGBTQ+",French (France),"Dec 6, 2019, Limited","Apr 3, 2020",$3.8M,2h 1m,Dolby Digital,Flat (1.85:1),Portrait of a Lady on Fire,97%,92%,"Feb 14, 2020",
John Huston,Henry Blanke,"B. Traven, 
John Huston","Warner Bros. Pictures, 
MGM/UA Home Entertainment Inc.",Warner Brothers,,"Adventure, 
Western, 
Drama",English,"Jan 6, 1948, Original","May 8, 2015",,2h 4m,,,The Treasure of the Sierra Madre,100%,93%,,
Francis Ford Coppola,"Kim Aubry, 
Francis Ford Coppola","Joseph Conrad, 
John Milius, 
Francis Ford Coppola, 
Michael Herr","Miramax Films, 
United Artists, 
Paramount Pictures",Zoetrope Studios,R,"War, 
Drama",English,"Aug 15, 1979, Original","Sep 29, 2013",$78.8M,2h 27m,Surround,,Apocalypse Now,90%,94%,,
Christopher McQuarrie,"Tom Cruise, 
Christopher McQuarrie, 
Jake Myers, 
J.J. Abrams",Christopher McQuarrie,Paramount Pictures,"Tom Cruise, 
Bad Robot",PG-13 (Intense Sequences of Action|Brief Strong Language|Violence),"Action, 
Adventure, 
Mystery & Thriller",English,"Jul 27, 2018, Wide","Nov 20, 2018",$220.1M,2h 27m,"DTS, 
Dolby Atmos, 
Dolby Digital",Scope (2.35:1),Mission: Impossible - Fallout,98%,88%,,
Peter Bogdanovich,Stephen Friedman,"Peter Bogdanovich, 
Larry McMurtry, 
Larry McMurtry",Columbia Pictures,"Columbia Pictures, 
BBS Productions",R (Nudity|Language|Sexuality),Drama,English,"Jan 1, 1971, Wide","May 25, 2010",,1h 58m,Mono,,The Last Picture Show,98%,89%,,
Juzo Itami,"Seigo Hosogoe, 
Juzo Itami, 
Yasushi Tamaoki",Juzo Itami,New Yorker Films,"Itami Productions, 
New Century Productions",,Comedy,Japanese,"Sep 1, 1986, Wide","May 4, 2017",$224.1K,1h 54m,Dolby,Flat (1.85:1),Tampopo,100%,93%,"Oct 21, 2016",
George Miller,"Doug Mitchell, 
George Miller, 
P.J. Voeten","George Miller, 
Brendan McCarthy, 
Nick Lathouris",Warner Bros. Pictures,"Village Roadshow Pictures, 
Warner Bros. Pictures, 
Kennedy Miller Mitchell",R (Intense Sequences of Violence|Disturbing Images),"Action, 
Adventure, 
Sci-Fi",English,"May 15, 2015, Wide","Aug 10, 2016",$153.6M,2h 0m,"Dolby Atmos, 
Dolby Digital, 
SDDS, 
Datasat",Scope (2.35:1),Mad Max: Fury Road,97%,86%,,
